Reviews,Rating,days_since_update,Price,Category_TRAVEL_AND_LOCAL,Category_VIDEO_PLAYERS,Category_FINANCE,Category_FAMILY,Category_MEDICAL,Category_GAME,Category_SOCIAL,Category_PERSONALIZATION,Category_PHOTOGRAPHY,Category_MAPS_AND_NAVIGATION,Category_HEALTH_AND_FITNESS,Category_COMMUNICATION,Category_Rare,Category_DATING,Category_TOOLS,Category_LIFESTYLE,Category_BUSINESS,Category_PRODUCTIVITY,Category_BOOKS_AND_REFERENCE,Category_SHOPPING,Category_EDUCATION,Category_NEWS_AND_MAGAZINES,Category_SPORTS,Category_FOOD_AND_DRINK,Category_ENTERTAINMENT,Size_Varies with device,Size_0.1-10MB,Size_40.1-50MB,Size_10.1-20MB,Size_90.1-100MB,Size_50.1-60MB,Size_80.1-90MB,Size_30.1-40MB,Size_60.1-70MB,Size_20.1-30MB,Size_70.1-80MB,Type_Free,Type_Paid,Content Rating_Everyone,Content Rating_Teen,Content Rating_Everyone 10+,Content Rating_Mature 17+,Content Rating_Rare,Genres_Travel & Local,Genres_Video Players & Editors,Genres_Finance,Genres_Entertainment,Genres_Role Playing,Genres_Rare,Genres_Medical,Genres_Arcade,Genres_Education,Genres_Social,Genres_Personalization,Genres_Photography,Genres_Maps & Navigation,Genres_Health & Fitness,Genres_Communication,Genres_Dating,Genres_Tools,Genres_Lifestyle,Genres_Business,Genres_Productivity,Genres_Books & Reference,Genres_Shopping,Genres_Puzzle,Genres_Casual,Genres_News & Magazines,Genres_Sports,Genres_Action,Genres_Simulation,Genres_Food & Drink
-0.10085444684812567,0.4032708863198737,5.514909581841112,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1510445150535422,-2.5098195977833506,1.307021119068338,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1422382042659173,0.8194266697631899,-0.6516056428829528,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.1510445150535422,-3.9663648398349625,0.7232239809899533,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15104173703752086,1.4436603449281677,-0.3205345386047346,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.13519558639983606,-0.22096278884510426,-0.4645883778708295,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15036181761629966,0.8194266697631899,-0.6440238618689478,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1509215878445982,-2.3017417060616916,-0.25482576981669125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.15104347329753418,0.8194266697631899,1.0037498785081382,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15104138978551818,-0.6371185722884214,-0.21186234407066296,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3021332385064728,0.19519299459821376,-0.6313875601789395,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15092957464065954,-0.22096278884510426,1.1781308418302532,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
