Reviews,Rating,Price,Last Updated,Category_FAMILY,Category_GAME,Category_TOOLS,Size_Varies with device,Size_0.1-10MB,Size_10.1-20MB,Size_30.1-40MB,Size_20.1-30MB,Type_Free,Content Rating_Everyone,Content Rating_Teen,Genres_Entertainment,Genres_Education
-0.1008544468481256,0.4032708863198737,0.0,2011-12-01,0,1,0,0,0,1,0,0,1,0,1,0,0
-0.1510445150535422,-2.5098195977833506,0.0,2016-06-22,1,0,0,0,1,0,0,0,1,1,0,1,0
-0.1422382042659173,0.8194266697631899,0.0,2018-08-06,0,0,0,1,0,0,0,0,1,1,0,0,0
-0.1510445150535422,-3.9663648398349625,0.0,2017-02-08,1,0,0,0,1,0,0,0,1,1,0,0,1
-0.1510417370375208,1.4436603449281675,0.0,2018-03-28,0,0,0,0,0,0,0,1,1,1,0,0,0
-0.135195586399836,-0.2209627888451042,0.0,2018-05-24,0,0,0,1,0,0,0,0,1,0,1,0,0
-0.1503618176162996,0.8194266697631899,0.0,2018-08-03,0,0,0,0,0,0,0,0,1,1,0,0,0
-0.1509215878445982,-2.301741706061692,0.0,2018-03-02,0,0,1,0,1,0,0,0,1,1,0,0,0
-0.1510434732975341,0.8194266697631899,0.0,2016-10-20,1,0,0,0,1,0,0,0,1,1,0,1,0
-0.1510413897855181,-0.6371185722884214,0.0,2018-02-13,0,0,0,0,0,1,0,0,1,0,1,0,0
0.3021332385064728,0.1951929945982137,0.0,2018-07-29,0,1,0,1,0,0,0,0,1,0,0,0,0
-0.1509295746406595,-0.2209627888451042,0.0,2016-08-12,0,1,0,0,0,0,0,1,1,0,1,0,0
-0.0839019513299451,1.0275045614848497,0.0,2018-06-07,0,0,0,0,0,0,1,0,1,1,0,0,0
-0.1510479875735688,0.1951929945982137,0.0,2017-12-01,0,0,0,0,1,0,0,0,1,1,0,0,0
-0.1510472930695635,1.651738236649826,2.99,2015-12-16,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.1509392976967342,0.6113487780415318,0.0,2018-08-04,0,0,0,0,1,0,0,0,1,1,0,0,0
-0.1509417284607528,1.2355824532065078,0.0,2017-06-03,1,0,0,0,1,0,0,0,1,1,0,0,1
-0.1510452095575475,-4.590598514999939,0.0,2016-11-14,0,0,0,0,0,1,0,0,1,1,0,0,0
-0.1504646042090889,-1.6775080308967154,0.0,2016-08-20,0,0,0,0,1,0,0,0,1,1,0,0,0
-0.148331435156708,-0.2209627888451042,0.0,2018-07-27,1,0,0,1,0,0,0,0,1,0,1,1,0
-0.1510174293973341,-0.2209627888451042,0.0,2018-07-13,0,0,0,0,0,1,0,0,1,1,0,0,0
-0.1510448623055448,0.1951929945982137,0.0,2018-05-31,0,0,1,0,0,0,0,0,1,1,0,0,0
